testId,frameNo,mapLatitude,mapLongitude,testYyddmm,testHhmmss,drivingTime
021022K1KA,frameNo,mapLatitude,mapLongitude,testYyddmm,testHhmmss,drivingTime
021022K1KA,1259,36.076867,140.215077,10/22/2002,13:30:43,0:00:16
021022K1KA,1261,36.076865,140.215066,10/22/2002,13:30:43,0:00:16
021022K1KA,1263,36.076862,140.215056,10/22/2002,13:30:43,0:00:16
021022K1KA,1265,36.07686,140.215045,10/22/2002,13:30:43,0:00:16
021022K1KA,1266,36.076858,140.215034,10/22/2002,13:30:43,0:00:16
021022K1KA,1268,36.076856,140.215023,10/22/2002,13:30:43,0:00:16
021022K1KA,1270,36.076854,140.215012,10/22/2002,13:30:43,0:00:16
021022K1KA,1272,36.076852,140.215002,10/22/2002,13:30:43,0:00:16
021022K1KA,1274,36.07685,140.214991,10/22/2002,13:30:43,0:00:16
021022K1KA,1275,36.076848,140.21498,10/22/2002,13:30:43,0:00:16
021022K1KA,1277,36.076845,140.214969,10/22/2002,13:30:43,0:00:16
021022K1KA,1279,36.076843,140.214959,10/22/2002,13:30:43,0:00:16
021022K1KA,1281,36.076841,140.214948,10/22/2002,13:30:43,0:00:16
021022K1KA,1282,36.076839,140.214937,10/22/2002,13:30:43,0:00:16
021022K1KA,1284,36.076837,140.214926,10/22/2002,13:30:43,0:00:16
021022K1KA,1286,36.076835,140.214915,10/22/2002,13:30:43,0:00:16
021022K1KA,1288,36.076833,140.214905,10/22/2002,13:30:43,0:00:16
021022K1KA,1289,36.07683,140.214894,10/22/2002,13:30:43,0:00:16
021022K1KA,1291,36.076828,140.214883,10/22/2002,13:30:44,0:00:17
021022K1KA,1293,36.076826,140.214872,10/22/2002,13:30:44,0:00:17
021022K1KA,1295,36.076824,140.214861,10/22/2002,13:30:44,0:00:17
021022K1KA,1297,36.076822,140.214851,10/22/2002,13:30:44,0:00:17
021022K1KA,1298,36.07682,140.21484,10/22/2002,13:30:44,0:00:17
021022K1KA,1300,36.076818,140.214829,10/22/2002,13:30:44,0:00:17
021022K1KA,1301,36.076816,140.214821,10/22/2002,13:30:44,0:00:17
021022K1KA,1302,36.076816,140.214818,10/22/2002,13:30:44,0:00:17
021022K1KA,1304,36.076814,140.214807,10/22/2002,13:30:44,0:00:17
021022K1KA,1306,36.076812,140.214796,10/22/2002,13:30:44,0:00:17
021022K1KA,1308,36.076811,140.214786,10/22/2002,13:30:44,0:00:17
021022K1KA,1309,36.076809,140.214775,10/22/2002,13:30:44,0:00:17
021022K1KA,1311,36.076807,140.214764,10/22/2002,13:30:44,0:00:17
021022K1KA,1313,36.076805,140.214753,10/22/2002,13:30:44,0:00:17
021022K1KA,1315,36.076804,140.214742,10/22/2002,13:30:44,0:00:17
021022K1KA,1317,36.076802,140.214731,10/22/2002,13:30:44,0:00:17
021022K1KA,1319,36.0768,140.21472,10/22/2002,13:30:44,0:00:17
021022K1KA,1320,36.076798,140.214709,10/22/2002,13:30:44,0:00:17
021022K1KA,1322,36.076797,140.214698,10/22/2002,13:30:45,0:00:18
021022K1KA,1324,36.076795,140.214687,10/22/2002,13:30:45,0:00:18
021022K1KA,1326,36.076793,140.214677,10/22/2002,13:30:45,0:00:18
021022K1KA,1328,36.076792,140.214666,10/22/2002,13:30:45,0:00:18
021022K1KA,1330,36.07679,140.214655,10/22/2002,13:30:45,0:00:18
021022K1KA,1332,36.076788,140.214644,10/22/2002,13:30:45,0:00:18
021022K1KA,1333,36.076786,140.214633,10/22/2002,13:30:45,0:00:18
021022K1KA,1335,36.076785,140.214622,10/22/2002,13:30:45,0:00:18
021022K1KA,1337,36.076783,140.214611,10/22/2002,13:30:45,0:00:18
021022K1KA,1339,36.076781,140.2146,10/22/2002,13:30:45,0:00:18
021022K1KA,1341,36.076779,140.214589,10/22/2002,13:30:45,0:00:18
021022K1KA,1343,36.076778,140.214578,10/22/2002,13:30:45,0:00:18
021022K1KA,1344,36.076776,140.214568,10/22/2002,13:30:45,0:00:18
021022K1KA,1346,36.076774,140.214557,10/22/2002,13:30:45,0:00:18
021022K1KA,1348,36.076773,140.214546,10/22/2002,13:30:45,0:00:18
021022K1KA,1350,36.076771,140.214535,10/22/2002,13:30:46,0:00:19
021022K1KA,1351,36.076769,140.214524,10/22/2002,13:30:46,0:00:19
021022K1KA,1352,36.076768,140.21452,10/22/2002,13:30:46,0:00:19
021022K1KA,1354,36.076769,140.214513,10/22/2002,13:30:46,0:00:19
021022K1KA,1355,36.076769,140.214502,10/22/2002,13:30:46,0:00:19
021022K1KA,1357,36.07677,140.214491,10/22/2002,13:30:46,0:00:19
021022K1KA,1359,36.07677,140.21448,10/22/2002,13:30:46,0:00:19
021022K1KA,1361,36.076771,140.214469,10/22/2002,13:30:46,0:00:19
021022K1KA,1363,36.076771,140.214458,10/22/2002,13:30:46,0:00:19
021022K1KA,1364,36.076772,140.214446,10/22/2002,13:30:46,0:00:19
021022K1KA,1365,36.076772,140.21444,10/22/2002,13:30:46,0:00:19
021022K1KA,1366,36.076773,140.214435,10/22/2002,13:30:46,0:00:19
021022K1KA,1368,36.076774,140.214424,10/22/2002,13:30:46,0:00:19
021022K1KA,1370,36.076775,140.214413,10/22/2002,13:30:46,0:00:19
021022K1KA,1372,36.076776,140.214402,10/22/2002,13:30:46,0:00:19
021022K1KA,1374,36.076777,140.214391,10/22/2002,13:30:46,0:00:19
021022K1KA,1376,36.076778,140.21438,10/22/2002,13:30:46,0:00:19
021022K1KA,1377,36.076779,140.214369,10/22/2002,13:30:46,0:00:19
021022K1KA,1379,36.07678,140.214358,10/22/2002,13:30:46,0:00:19
021022K1KA,1381,36.076781,140.214347,10/22/2002,13:30:47,0:00:20
021022K1KA,1383,36.076782,140.214336,10/22/2002,13:30:47,0:00:20
021022K1KA,1385,36.076783,140.214325,10/22/2002,13:30:47,0:00:20
021022K1KA,1387,36.076784,140.214314,10/22/2002,13:30:47,0:00:20
021022K1KA,1388,36.076785,140.214303,10/22/2002,13:30:47,0:00:20
021022K1KA,1390,36.076786,140.214292,10/22/2002,13:30:47,0:00:20
021022K1KA,1392,36.076787,140.214281,10/22/2002,13:30:47,0:00:20
021022K1KA,1394,36.076788,140.21427,10/22/2002,13:30:47,0:00:20
021022K1KA,1396,36.076789,140.214259,10/22/2002,13:30:47,0:00:20
021022K1KA,1398,36.07679,140.214248,10/22/2002,13:30:47,0:00:20
021022K1KA,1399,36.076791,140.214237,10/22/2002,13:30:47,0:00:20
021022K1KA,1401,36.076792,140.214226,10/22/2002,13:30:47,0:00:20
021022K1KA,1403,36.076793,140.214215,10/22/2002,13:30:47,0:00:20
021022K1KA,1405,36.076794,140.214204,10/22/2002,13:30:47,0:00:20
021022K1KA,1407,36.076795,140.214193,10/22/2002,13:30:47,0:00:20
021022K1KA,1409,36.076796,140.214182,10/22/2002,13:30:48,0:00:21
021022K1KA,1410,36.076797,140.214171,10/22/2002,13:30:48,0:00:21
021022K1KA,1412,36.076798,140.21416,10/22/2002,13:30:48,0:00:21
021022K1KA,1414,36.076799,140.214149,10/22/2002,13:30:48,0:00:21
021022K1KA,1416,36.0768,140.214138,10/22/2002,13:30:48,0:00:21
021022K1KA,1418,36.076801,140.214127,10/22/2002,13:30:48,0:00:21
021022K1KA,1420,36.076802,140.214115,10/22/2002,13:30:48,0:00:21
021022K1KA,1422,36.076803,140.214104,10/22/2002,13:30:48,0:00:21
